University/College,Course Name,Level,Full-time/Part-time,Mode of Study,Location,Fee (/year),Duration
Bond University,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",36000,3
University of Canberra,Bachelor of Marketing,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",30000,3
Southern Cross University,Bachelor of Arts - Creative Writing,Bachelor,Full-time,On Campus,"Lismore, New South Wales",29000,3
Murdoch University,Bachelor of Engineering - Electrical Engineering,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,4
Australian Catholic University,Bachelor of Theology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",28000,3
CQUniversity,Bachelor of Occupational Therapy,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",31000,4
University of Notre Dame,Bachelor of Counselling,Bachelor,Full-time,On Campus,"Fremantle, Western Australia",30000,3
Federation University Australia,Bachelor of Visual Arts,Bachelor,Full-time,On Campus,"Ballarat, Victoria",28000,3
Torrens University Australia,Bachelor of Digital Media,Bachelor,Full-time,On Campus,"Sydney, New South Wales",30000,3
Western Sydney University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Sydney, New South Wales",25000,4
University of Melbourne,Bachelor of Commerce - Marketing,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
University of New South Wales,Bachelor of International Studies - Media (Screen and Sound Production),Bachelor,Full-time,Blended,"Kensington, New South Wales",16000,4
University of South Australia,Bachelor of Laws and Psychology (Honours),Bachelor,Full-time,On Campus,"Adelaide, South Australia",38300,5
Curtin University,Bachelor of Science - Commerce,Bachelor,Full-time,On Campus,"Perth, Western Australia",12600,4
University of Wollongong,Bachelor of Engineering - Data Science,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",35472,4
Flinders University,Bachelor of Arts - Languages,Bachelor,Full-time,On Campus,"Adelaide, South Australia",5600,3
Queensland University of Technology,Bachelor of Property Economics,Bachelor,Full-time,On Campus,"Brisbane, Queensland",13900,3
University of Western Australia,Bachelor of Agricultural Science and Arts (Agribusiness),Bachelor,Full-time,On Campus,"Perth, Western Australia",33600,3.5
Murdoch University,Bachelor of Criminology and Global Security,Bachelor,Full-time,On Campus,"Perth, Western Australia",15568,4
University of Notre Dame Australia,Bachelor of Commerce - Marketing,Bachelor,Full-time,On Campus,Multiple locations,31050,3
Australian Catholic University,Bachelor of Occupational Therapy,Bachelor,Full-time,On Campus,"Brisbane, Queensland",29000,4
Australian College of Applied Psychology,Bachelor of Psychological Science and Counselling,Bachelor,Full-time,On Campus,"Melbourne, Victoria",24500,3
Australian College of Physical Education,Bachelor of Health and Movement,Bachelor,Full-time,On Campus,"Sydney, New South Wales",27000,3
Australian National University,Bachelor of Economics,Bachelor,Full-time,On Campus,"Canberra, ACT",45000,3
Bond University,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
Central Queensland University,Bachelor of Accident Forensics,Bachelor,Full-time,Online,"Brisbane, Queensland",32000,3
Charles Darwin University,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Darwin, Northern Territory",28000,3
Charles Sturt University,Bachelor of Dental Science,Bachelor,Full-time,On Campus,"Orange, New South Wales",45000,5
Curtin University,Bachelor of Engineering (Mining),Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,4
Deakin University,Bachelor of Sport Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29500,3
Edith Cowan University,Bachelor of Medical Science,Bachelor,Full-time,On Campus,"Joondalup, Western Australia",30000,3
Federation University Australia,Bachelor of Business,Bachelor,Full-time,On Campus,"Ballarat, Victoria",26000,3
Flinders University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
Griffith University,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",30000,4
James Cook University,Bachelor of Marine Science,Bachelor,Full-time,On Campus,"Townsville, Queensland",35000,3
La Trobe University,Bachelor of Pharmacy,Bachelor,Full-time,On Campus,"Melbourne, Victoria",43000,4
Macquarie University,Bachelor of Arts - Anthropology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",28500,3
Monash University,Bachelor of Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Murdoch University,Bachelor of Criminology,Bachelor,Full-time,On Campus,"Perth, Western Australia",29000,3
Queensland University of Technology,Bachelor of Media and Communication,Bachelor,Full-time,On Campus,"Brisbane, Queensland",29500,3
RMIT University,Bachelor of Fashion Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,4
Southern Cross University,Bachelor of Clinical Exercise Physiology,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",31000,4
Swinburne University of Technology,Bachelor of Aviation Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Adelaide,Bachelor of Viticulture and Oenology,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
University of Melbourne,Bachelor of Urban Horticulture,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of New England,Bachelor of Animal Science,Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,3
University of Newcastle,Bachelor of Construction Management,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",29500,4
University of Notre Dame Australia,Bachelor of Laws,Bachelor,Full-time,On Campus,"Fremantle, Western Australia",38000,4
University of Queensland,Bachelor of Biotechnology,Bachelor,Full-time,On Campus,"Brisbane, Queensland",35000,3
University of Sydney,Bachelor of Veterinary Biology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",45000,5
University of Western Australia,Bachelor of Marine Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Southern Queensland,Bachelor of Psychology,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",28000,3
University of Canberra,Bachelor of Software Engineering,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",35000,4
University of Technology Sydney,Bachelor of Business (Finance),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Victoria University,Bachelor of Information Technology(BIT),Bachelor,Full-time,On Campus,"Melbourne, Victoria",27000,3
University of New South Wales,Bachelor of International Studies,Bachelor,Full-time,On Campus,"Kensington, New South Wales",37000,3
University of Wollongong,Bachelor of Medical and Health Science,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",29000,3
Bond University,Bachelor of Property,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",33000,3
Federation University Australia,Bachelor of Science (Honours),Bachelor,Full-time,On Campus,"Ballarat, Victoria",25000,3
La Trobe University,Bachelor of Arts (Sociology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",26000,3
Curtin University,Bachelor of Fine Arts,Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Flinders University,Bachelor of Science (Marine Biology),Bachelor,Full-time,On Campus,"Adelaide, South Australia",30000,3
Charles Sturt University,Bachelor of Accounting,Bachelor,Full-time,On Campus,"Bathurst, New South Wales",29000,3
Griffith University,Bachelor of Music,Bachelor,Full-time,On Campus,"Brisbane, Queensland",32000,3
James Cook University,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Townsville, Queensland",34000,3
Southern Cross University,Bachelor of Laws,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",35000,3
Swinburne University of Technology,Bachelor of Industrial Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,4
Australian Catholic University,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,4
University of Notre Dame Australia,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Fremantle, Western Australia",30000,3
Macquarie University,Bachelor of Engineering (Civil Engineering),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,4
University of Tasmania,Bachelor of Science (Chemistry),Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,3
University of Queensland,Bachelor of Advanced Business (Honours),Bachelor,Full-time,On Campus,"Brisbane, Queensland",36000,4
University of Sydney,Bachelor of Science (Microbiology),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian National University,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Canberra, ACT",37000,3
University of Melbourne,Bachelor of Agriculture,Bachelor,Full-time,On Campus,"Melbourne, Victoria",38000,3
University of Adelaide,Bachelor of Music,Bachelor,Full-time,On Campus,"Adelaide, South Australia",32000,3
University of Newcastle,Bachelor of Education (Primary),Bachelor,Full-time,On Campus,"Newcastle, New South Wales",29000,4
CQUniversity,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",31000,3
University of Canberra,Bachelor of Politics and International Relations,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",33000,3
University of Western Australia,Bachelor of Data Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
University of New England,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Armidale, New South Wales",28000,4
University of Wollongong,Bachelor of Communication and Media,Bachelor,Full-time,On Campus,"Wollongong, New South Wales",29500,3
University of Southern Queensland,Bachelor of Science (Astronomy),Bachelor,Full-time,On Campus,"Toowoomba, Queensland",31000,3
University of Canberra,Bachelor of Sport and Exercise Science,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",32000,3
Curtin University,Bachelor of Commerce - Logistics and Supply Chain Management,Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Bond University,Bachelor of International Business,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",34500,3
University of Melbourne,Bachelor of Fine Arts (Dance),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Victoria University,Bachelor of Music,Bachelor,Full-time,On Campus,"Melbourne, Victoria",29000,3
Monash University,Bachelor of Architecture,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,5
Flinders University,Bachelor of Science (Physics),Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
Griffith University,Bachelor of Social Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",30000,3
James Cook University,Bachelor of Creative Arts,Bachelor,Full-time,On Campus,"Townsville, Queensland",33000,3
Swinburne University of Technology,Bachelor of Science (Biotechnology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Southern Cross University,Bachelor of Business (Human Resource Management),Bachelor,Full-time,On Campus,"Lismore, New South Wales",30000,3
University of Queensland,Bachelor of Design,Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
University of Tasmania,Bachelor of Marine and Antarctic Science,Bachelor,Full-time,On Campus,"Hobart, Tasmania",35000,3
University of Notre Dame Australia,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Fremantle, Western Australia",32000,4
Macquarie University,Bachelor of Business Leadership,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
University of South Australia,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Adelaide, South Australia",29500,3
RMIT University,Bachelor of Information Systems,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Charles Sturt University,Bachelor of Veterinary Science,Bachelor,Full-time,On Campus,"Wagga Wagga, New South Wales",42000,5
University of Sydney,Bachelor of Science (Medical Science),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of Western Australia,Bachelor of Commerce (Honours),Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,4
Australian National University,Bachelor of Music,Bachelor,Full-time,On Campus,"Canberra, ACT",37000,3
CQUniversity,Bachelor of Applied Science,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",31000,3
University of Melbourne,Bachelor of Arts (Psychology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Murdoch University,Bachelor of Forensic Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of Newcastle,Bachelor of Medicine,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",40000,5
Federation University Australia,Bachelor of Environmental Management,Bachelor,Full-time,On Campus,"Ballarat, Victoria",32000,3
University of Western Australia,Bachelor of Computer Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
University of Southern Queensland,Bachelor of Health Science,Bachelor,Full-time,On Campus,"Toowoomba, Queensland",28000,3
University of Canberra,Bachelor of Accounting,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory",32000,3
