University of Canberra,Environmental Science (Sustainability),B.Sc.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
Western Sydney University,Public Relations (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
University of Sydney,Economics and Policy,B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
University of Queensland,Music and Media,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","30,500",3
Monash University,Architecture (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Melbourne,Creative Writing (Poetry Focus),B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
Griffith University,Marine Science (Honours),B.Sc.,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Law (Environmental Sustainability),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
RMIT University,Digital Arts (Animation Focus),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Technology Sydney,Software Engineering (Honours),B.Eng.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Adelaide,Business and Marketing,Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","31,500",3
La Trobe University,Physics (Advanced),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","33,000",3
University of Western Australia,Philosophy (Ethics Focus),B.A.,Full-time,On Campus,"Perth, Western Australia, Australia","30,500",3
Macquarie University,Public Health (Global Issues),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
Victoria University,Journalism (International Focus),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Bond University,Sociology (Global Relations),B.A.,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,500",3
University of Newcastle,Film Studies (Advanced Cinematography),Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,500",3
Swinburne University of Technology,Data Science (Honours),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Southern Queensland,International Relations (Human Rights),Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","30,000",3
University of Tasmania,Psychology (Cognitive Science),B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","31,500",3
University of Canberra,Public Policy (Governance),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
Western Sydney University,Sports Science (Performance Focus),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Queensland,Economics and Development,B.A.,Full-time,On Campus,"Brisbane, Queensland, Australia","31,500",3
University of Sydney,Political Science (International Studies),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,500",3
Monash University,Creative Industries (Film and Media),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Melbourne,Architecture (Digital Design),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Griffith University,Law and Policy,Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Public Health (Indigenous Health),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,000",3
RMIT University,Physics (Thermodynamics),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Technology Sydney,Software Engineering (AI Focus),B.Eng.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Adelaide,Marine Conservation,B.Sc.,Full-time,On Campus,"Adelaide, South Australia, Australia","31,500",3
La Trobe University,Journalism and Digital Media,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
University of Western Australia,Criminology (Advanced),B.A.,Full-time,On Campus,"Perth, Western Australia, Australia","31,500",3
Macquarie University,Public Policy (Global Affairs),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
Victoria University,Mathematics (Pure and Applied),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Bond University,Film Production (Advanced),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,000",3
University of Newcastle,Business Economics,Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,000",3
Swinburne University of Technology,Sports Management (High Performance),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
University of Southern Queensland,Data Science (Cybersecurity Focus),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","33,000",3
University of Tasmania,Veterinary Science (Honours),Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","31,500",3
University of Canberra,Creative Writing (Screenwriting),B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
Western Sydney University,International Business (Advanced),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Sydney,Law and Criminology,Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Queensland,Sports Science (Advanced),Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","31,500",3
Monash University,Physics (Astrophysics),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","33,500",3
University of Melbourne,Architecture (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
Griffith University,International Relations (Law Focus),B.A.,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Business and Economics,Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
RMIT University,Mechanical Engineering (Energy Focus),B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Technology Sydney,Software Engineering (Honours),B.Eng.,Full-time,On Campus,"Sydney, New South Wales, Australia","33,000",3
University of Adelaide,Marine Biology (Advanced),B.Sc.,Full-time,On Campus,"Adelaide, South Australia, Australia","31,000",3
La Trobe University,Digital Media (Film Focus),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Western Australia,Sociology (Human Rights),B.A.,Full-time,On Campus,"Perth, Western Australia, Australia","31,500",3
Macquarie University,Public Policy (International Focus),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
Victoria University,Marketing (Digital Focus),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Bond University,Journalism (Advanced),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
University of Newcastle,Business Economics (Sustainability),Bachelor,Full-time,On Campus,"Newcastle, New South Wales, Australia","32,000",3
Swinburne University of Technology,Data Science (Blockchain Focus),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Southern Queensland,Criminal Justice (Forensics),Bachelor,Full-time,On Campus,"Toowoomba, Queensland, Australia","31,000",3
University of Tasmania,Environmental Science (Policy Focus),B.Sc.,Full-time,On Campus,"Hobart, Tasmania, Australia","30,500",3
University of Canberra,Philosophy (Ethics and Society),B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,500",3
Western Sydney University,Creative Writing (Poetry),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Queensland,Digital Marketing,Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","32,500",3
University of Sydney,International Relations (Peace and Conflict),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,500",3
Monash University,Journalism (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Melbourne,Mathematics and Computer Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Griffith University,Law (Global Issues),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Public Health (Policy Focus),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
RMIT University,Engineering (Mechanical Systems),B.Eng.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Technology Sydney,Cybersecurity (Blockchain Focus),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Adelaide,Marine Conservation (Honours),B.Sc.,Full-time,On Campus,"Adelaide, South Australia, Australia","31,000",3
La Trobe University,Digital Media and Film,Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Western Australia,Physics (Quantum Computing),B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","31,000",3
Macquarie University,Creative Writing (Narrative Focus),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,000",3
Victoria University,Economics (Development Studies),B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Bond University,Public Policy (Law Focus),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,500",3
University of Newcastle,Sociology (Migration Studies),B.A.,Full-time,On Campus,"Newcastle, New South Wales, Australia","30,000",3
Swinburne University of Technology,Business Administration (Digital Transformation),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Southern Queensland,Environmental Science (Honours),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","31,500",3
University of Tasmania,Law (Ethics and Policy),Bachelor,Full-time,On Campus,"Hobart, Tasmania, Australia","30,500",3
University of Canberra,Film Studies (Cinematography),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,500",3
Western Sydney University,Psychology (Advanced),B.Sc.,Full-time,On Campus,"Sydney, New South Wales, Australia","31,000",3
University of Sydney,Law (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
University of Queensland,Criminology (Honours),B.A.,Full-time,On Campus,"Brisbane, Queensland, Australia","30,500",3
Monash University,Mathematics (Applied Focus),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,000",3
University of Melbourne,Creative Writing (Narrative Studies),B.A.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,000",3
Griffith University,Business Administration (Honours),Bachelor,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Public Policy (Health Focus),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
RMIT University,Digital Arts (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Technology Sydney,Software Engineering (Systems),B.Eng.,Full-time,On Campus,"Sydney, New South Wales, Australia","32,500",3
University of Adelaide,Veterinary Medicine (Advanced),Bachelor,Full-time,On Campus,"Adelaide, South Australia, Australia","31,500",3
La Trobe University,Marine Science (Ecology Focus),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
University of Western Australia,Physics (Astrophysics),B.Sc.,Full-time,On Campus,"Perth, Western Australia, Australia","32,500",3
Macquarie University,Philosophy (Ethics),B.A.,Full-time,On Campus,"Sydney, New South Wales, Australia","30,000",3
Victoria University,Journalism (Multimedia Focus),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","30,500",3
Bond University,Environmental Science (Climate Change),B.Sc.,Full-time,On Campus,"Gold Coast, Queensland, Australia","31,500",3
University of Newcastle,International Relations (Global Focus),B.A.,Full-time,On Campus,"Newcastle, New South Wales, Australia","31,000",3
Swinburne University of Technology,Sports Science (Biomechanics),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","31,500",3
University of Southern Queensland,Data Science (Statistics),B.Sc.,Full-time,On Campus,"Toowoomba, Queensland, Australia","31,000",3
University of Tasmania,Creative Writing (Screenwriting),B.A.,Full-time,On Campus,"Hobart, Tasmania, Australia","30,500",3
University of Canberra,Public Relations (Honours),Bachelor,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","30,000",3
Western Sydney University,International Business (Law Focus),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","32,000",3
University of Queensland,Criminal Justice (Law Focus),Bachelor,Full-time,On Campus,"Brisbane, Queensland, Australia","32,000",3
University of Sydney,Public Policy (Economic Focus),Bachelor,Full-time,On Campus,"Sydney, New South Wales, Australia","31,500",3
Monash University,Business Administration (Leadership),Bachelor,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
University of Melbourne,Environmental Science (Marine),B.Sc.,Full-time,On Campus,"Melbourne, Victoria, Australia","32,500",3
Griffith University,Sociology (Advanced),B.A.,Full-time,On Campus,"Gold Coast, Queensland, Australia","30,500",3
Australian National University,Philosophy (Advanced Ethics),B.A.,Full-time,On Campus,"Canberra, Australian Capital Territory, Australia","31,000",3
